DEPT,AVTX,BVTX,CILD,CNDL,CNLS,CNPOR,CNSS,GR,LSPD,LTEN,RILD,RILM,RLL3,RxoRt,SP,MCAL,MI,MN,ITT,DT,SPOR,DCAL,RHOB,RHOC,DPOR
666,0,0,227.3149,20.4329,29.1171,29.1171,31.6242,119.962,-102.07,844.3686,4.3992,4.0533,5.5081,-8.3905,-227.9756,7.8274,4.037,2.5531,0,134.4547,61.4248,8.0927,2.2522,0.0439,26.7697
666.5,0,0,227.268,21.5973,30.0668,30.0668,32.5677,118.135,-102.07,836.8956,4.4001,4.0673,5.5118,-8.4558,-227.9767,7.8392,4.0085,2.5287,0,134.3876,61.3773,8.0969,2.2469,0.0314,27.0795
667,0,0,226.802,23.285,31.2566,31.2566,33.7973,120.8578,-102.07,854.3467,4.4091,4.0709,5.4584,-8.238,-228.0522,7.8586,3.9891,2.493,0,134.5216,61.4721,8.0997,2.2519,0.0301,26.7902
667.5,0,0,226.1345,24.7498,32.3902,32.3902,34.9799,124.7295,-102.07,860.8677,4.4221,4.0656,5.4063,-7.8585,-228.1801,7.8697,3.9989,2.4779,0,134.7421,61.6281,8.1012,2.2659,0.0346,25.9692
668,0,0,225.674,26.1806,33.3131,33.3131,35.9196,123.4193,-102.07,838.4828,4.4312,4.0538,5.3635,-7.4701,-228.3417,7.8733,3.971,2.436,1,134.9414,61.769,8.1022,2.281,0.0393,25.0861
668.5,0,0,225.6951,25.3474,32.7196,32.7196,35.3191,121.8788,-102.07,819.9818,4.4308,4.0386,5.3165,-7.1831,-228.5343,7.8827,3.8842,2.3621,1,135.0798,61.8669,8.1068,2.2886,0.0406,24.6457
669,0,0,226.3111,23.4008,31.373,31.373,33.9189,124.112,-102.07,830.6323,4.4187,4.0223,5.2664,-7.0701,-228.7593,7.897,3.7994,2.3223,0,135.1555,61.9204,8.1171,2.2868,0.0383,24.7508
669.5,0,0,227.4148,23.3789,31.3506,31.3506,33.8955,125.545,-102.44,840.8632,4.3973,4.0067,5.2494,-7.1468,-229.0003,7.8991,3.7824,2.3485,0,135.1638,61.9263,8.1252,2.28,0.0339,25.1444
670,0,0,228.7426,23.6616,31.6358,31.6358,34.1939,123.6722,-102.44,847.9675,4.3717,3.9922,5.2731,-7.3511,-229.2111,7.8883,3.7896,2.3816,0,135.1032,61.8834,8.1297,2.2727,0.0286,25.5745
670.5,0,0,230.084,22.9514,30.9613,30.9613,33.4891,121.1349,-102.44,855.4297,4.3462,3.9785,5.299,-7.5784,-229.3256,7.8854,3.7674,2.3662,0,134.9954,61.8072,8.1327,2.2661,0.0236,25.958
671,0,0,231.3604,21.5799,30.0551,30.0551,32.5558,118.6387,-101.95,838.1554,4.3223,3.9647,5.2893,-7.7491,-229.287,7.893,3.7428,2.3319,0,134.8771,61.7235,8.1334,2.2599,0.0206,26.3217
671.5,0,0,232.5628,20.7324,29.3842,29.3842,31.8857,118.3893,-101.95,831.1464,4.2999,3.9499,5.256,-7.8481,-229.0834,7.8953,3.7527,2.3218,0,134.7805,61.6552,8.1345,2.2531,0.0202,26.7171
672,0,0,233.6787,21.6071,30.0735,30.0735,32.5744,120.7492,-101.95,856.4388,4.2794,3.9336,5.2281,-7.8996,-228.7617,7.8923,3.7672,2.3332,0,134.735,61.623,8.1394,2.2454,0.0232,27.1722
672.5,0,0,234.77,24.6225,32.3195,32.3195,34.9066,122.3982,-101.95,876.2872,4.2595,3.916,5.2206,-7.9247,-228.4061,7.9004,3.7036,2.3284,0,134.7848,61.6583,8.146,2.2362,0.0309,27.7074
673,1,1,235.999,27.4938,34.621,34.621,37.166,121.9868,-101.71,880.3888,4.2373,3.8976,5.2235,-7.9287,-228.0962,7.9237,3.55,2.3076,0,134.9805,61.7967,8.1562,2.2267,0.0465,28.2628
673.5,0,0,237.3484,29.5735,36.0466,36.0466,38.349,121.6794,-101.71,877.7946,4.2132,3.8798,5.1711,-7.9174,-227.8748,7.9545,3.3707,2.275,0,135.3145,62.0329,8.1744,2.2215,0.0713,28.5677
674,0,0,238.5838,27.1587,34.3431,34.3431,36.9123,123.0972,-101.71,853.3438,4.1914,3.8637,5.0634,-7.9407,-227.7409,7.9844,3.3171,2.2219,0,135.6789,62.2906,8.2311,2.2248,0.0982,28.3741
674.5,0,0,239.659,21.6717,30.1166,30.1166,32.6182,119.3272,-101.71,829.095,4.1726,3.8498,5.0835,-8.0783,-227.6618,7.9945,3.4608,2.2087,0,135.9344,62.4713,8.2945,2.2343,0.1134,27.8189
675,0,0,240.7336,19.9898,28.7359,28.7359,31.2559,111.9418,-101.71,826.606,4.154,3.8378,5.1795,-8.3221,-227.5943,7.9715,3.6164,2.2206,0,136.0226,62.5336,8.1273,2.2435,0.1088,27.2836
675.5,0,0,241.8419,25.0857,32.5739,32.5739,35.1695,111.5488,-101.71,829.9229,4.1349,3.8278,5.1839,-8.5658,-227.5101,7.9359,3.6356,2.1961,1,135.9966,62.5153,7.9729,2.2479,0.0888,27.0262
676,0,0,242.8243,29.8012,36.1906,36.1906,38.4583,117.7763,-101.71,851.7183,4.1182,3.8207,5.1304,-8.743,-227.4136,7.9099,3.5805,2.1534,1,135.9686,62.4955,7.9483,2.2471,0.0646,27.0711
676.5,0,0,243.3805,26.0428,33.1878,33.1878,35.7942,125.8579,-101.71,886.7682,4.1088,3.8187,5.1258,-8.8651,-227.3377,7.8985,3.5413,2.1206,0,136.0221,62.5333,7.9414,2.2432,0.0443,27.2987
677,0,0,243.1962,19.9241,28.6812,28.6812,31.2035,128.5957,-101.71,880.1866,4.1119,3.8243,5.1614,-8.9449,-227.3154,7.8998,3.5769,2.1141,0,136.1549,62.6273,7.9353,2.2397,0.031,27.5003
677.5,0,0,242.2479,16.723,25.7389,25.7389,28.5153,124.7115,-101.71,871.2297,4.128,3.8393,5.1884,-8.9972,-227.3443,7.9032,3.6584,2.1369,0,136.3027,62.7318,7.9331,2.2405,0.0259,27.4564
678,0,0,240.7172,16.2031,25.269,25.269,28.1029,124.9997,-102.2,874.2016,4.1543,3.8639,5.2103,-9.0602,-227.3723,7.8989,3.7496,2.1926,0,136.4065,62.8052,7.9319,2.2459,0.0272,27.1391
